Date;Hour;Res consumption;Consumption
01.04.2018;0:00:00;11553;763
01.04.2018;1:00:00;11152;741
01.04.2018;2:00:00;10883;714
01.04.2018;3:00:00;10677;680
01.04.2018;4:00:00;10649;684
01.04.2018;5:00:00;10592;667
01.04.2018;6:00:00;10654;682
01.04.2018;7:00:00;10674;714
01.04.2018;8:00:00;10935;717
01.04.2018;9:00:00;11141;751
01.04.2018;10:00:00;11465;789
01.04.2018;11:00:00;11702;805
01.04.2018;12:00:00;11789;828
01.04.2018;13:00:00;11673;832
01.04.2018;14:00:00;11655;807
01.04.2018;15:00:00;11586;811
01.04.2018;16:00:00;11530;781
01.04.2018;17:00:00;11702;819
01.04.2018;18:00:00;11694;823
01.04.2018;19:00:00;11889;813
01.04.2018;20:00:00;12212;858
01.04.2018;21:00:00;12549;891
01.04.2018;22:00:00;12482;888
01.04.2018;23:00:00;11977;838
02.04.2018;0:00:00;11548;762
02.04.2018;1:00:00;11179;720
02.04.2018;2:00:00;10950;687
02.04.2018;3:00:00;10757;660
02.04.2018;4:00:00;10754;659
02.04.2018;5:00:00;10705;648
02.04.2018;6:00:00;10904;686
02.04.2018;7:00:00;11045;681
02.04.2018;8:00:00;11455;790
02.04.2018;9:00:00;11898;821
02.04.2018;10:00:00;11967;846
02.04.2018;11:00:00;11946;830
02.04.2018;12:00:00;12046;873
02.04.2018;13:00:00;12012;842
02.04.2018;14:00:00;11777;824
02.04.2018;15:00:00;11784;821
02.04.2018;16:00:00;11752;839
02.04.2018;17:00:00;11876;847
02.04.2018;18:00:00;11792;839
02.04.2018;19:00:00;11902;853
02.04.2018;20:00:00;12342;876
02.04.2018;21:00:00;12704;893
02.04.2018;22:00:00;12561;866
02.04.2018;23:00:00;12060;830
03.04.2018;0:00:00;11555;784
03.04.2018;1:00:00;11138;734
03.04.2018;2:00:00;10848;687
03.04.2018;3:00:00;10794;681
03.04.2018;4:00:00;10679;676
03.04.2018;5:00:00;10773;661
03.04.2018;6:00:00;10956;665
03.04.2018;7:00:00;11319;704
03.04.2018;8:00:00;11472;751
03.04.2018;9:00:00;11800;811
03.04.2018;10:00:00;11771;832
03.04.2018;11:00:00;11844;839
03.04.2018;12:00:00;11800;839
03.04.2018;13:00:00;11521;827
03.04.2018;14:00:00;11535;829
03.04.2018;15:00:00;11424;792
03.04.2018;16:00:00;11434;806
03.04.2018;17:00:00;11545;803
03.04.2018;18:00:00;11650;815
03.04.2018;19:00:00;11655;812
03.04.2018;20:00:00;11945;875
03.04.2018;21:00:00;12429;868
03.04.2018;22:00:00;12362;834
03.04.2018;23:00:00;11950;814
04.04.2018;0:00:00;11390;742
04.04.2018;1:00:00;10888;712
04.04.2018;2:00:00;10797;671
04.04.2018;3:00:00;10659;663
04.04.2018;4:00:00;10733;671
04.04.2018;5:00:00;10722;651
04.04.2018;6:00:00;10875;653
04.04.2018;7:00:00;11147;704
